src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
198.189.66.14,169.231.122.195,443,57315,17,2022-12-05 12:22:02,33011.0,163824.17981884826,333.2222592469177,181.7575959528642,151.4646632940535,6,5,3031,2377,1292,68,505.1666666666667,556.0855499731034,1288,75,475.4,454.12843998146604,1292,68,491.6363636363636,512.4776310377357,262633.3223140495,48,40,8,6,534.8,22735.0,-7669.0,8378.322085000074,2914.0,2461.0,1.0,582.8,950.8779942768683,33011.0,30354.0,1.0,8252.75,12803.638513621821,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,491.6363636363636,0,0,0,0,0,0,0,0,0,0,2750.0,5.0,0,0,6070640.176600441501103752759,0,505.1666666666667,475.4,0,6,5,3031,2377
92.63.196.41,169.231.122.194,46300,3999,6,2022-12-05 12:22:06,241105.0,447.9376205387694,8.295141121088323,8.295141121088323,0.0,2,0,108,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,54.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,2,0,108,0
142.250.68.110,169.231.122.195,443,64267,6,2022-12-05 12:22:08,6125.0,32326.530612244896,489.7959183673469,163.26530612244898,326.53061224489795,1,2,66,132,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,20,40,20,0,489.5,3552.0,-2573.0,3062.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2.0,66.0,263,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,1,2,66,132
142.250.68.110,169.231.122.195,443,64269,6,2022-12-05 12:22:08,13055637.0,232.0836585759852,0.9191432022811296,0.38297633428380395,0.5361668679973256,5,7,1705,1325,1046,66,341.0,382.6507546052928,855,54,189.28571428571428,273.04877339600193,1046,54,252.5,331.8045358339756,110094.25,100,140,20,2,-7090789.454545454,13031137.0,-13055637.0,8534106.756266702,13053356.0,13031137.0,6634.0,3263339.0,5639440.851874723,251758.0,224933.0,946.0,41959.666666666664,81922.04551414853,2,2,0,0,1,2,0,4,11,0,0,1.4,252.5,65535,2048,0,0,0,0,13024503.0,8578.0,6516540.5,6507962.5,0,0,0,0,0,0,341.0,189.28571428571428,0,5,7,1705,1325
142.250.68.110,169.231.122.195,443,54805,17,2022-12-05 12:22:08,56622.0,126064.07403482746,300.2366571297376,141.28783864928826,158.9488184804493,8,9,3743,3395,1292,67,467.875,462.2403156097486,1292,75,377.22222222222223,492.13046548829755,1292,67,419.88235294117646,480.4327561875784,230815.6332179931,64,72,8,8,-16411.4375,25337.0,-56622.0,25089.869163092375,46493.0,25337.0,2.0,6641.857142857143,8644.88582802525,53385.0,28650.0,1.0,6673.125,10009.502915198886,0,0,0,0,0,0,0,0,0,0,0,1.125,419.88235294117646,0,0,0,0,0,0,24212.0,9639.0,16925.5,7286.5,0,0,0,0,0,0,467.875,377.22222222222223,0,8,9,3743,3395
198.189.66.14,169.231.122.195,443,54714,17,2022-12-05 12:22:08,53983.0,203156.54928403386,370.4870051682937,203.76785284256152,166.71915232573215,11,9,6782,4185,1292,67,616.5454545454545,531.672209959271,1292,75,465.0,466.0221740074893,1292,67,548.35,508.80745621502047,258885.0275,88,72,8,11,-9397.684210526315,38119.0,-53983.0,22159.73795933952,47425.0,38119.0,1.0,4742.5,11316.88791364481,49325.0,39822.0,1.0,6165.625,12931.06271674432,0,0,0,0,0,0,0,0,0,0,0,0.8181818181818182,548.35,0,0,0,0,0,0,38119.0,5953.0,22036.0,16083.0,5389.0,5.0,0,0,101679245.2830188679245283019,0,616.5454545454545,465.0,0,11,9,6782,4185
23.196.44.47,169.231.122.194,443,55257,6,2022-12-05 12:22:08,100461.0,5494.669573267238,79.63289236619185,49.77055772886991,29.862334637321947,5,3,330,222,90,54,66.0,13.145341380123988,90,66,74.0,11.313708498984761,90,54,69.0,13.076696830622021,171.0,100,60,20,1,9428.0,65956.0,-12502.0,27359.291370313564,100461.0,65956.0,48.0,25115.25,27114.269927244954,2069.0,1097.0,972.0,1034.5,62.5,1,1,0,0,3,0,2,2,6,0,0,0.6,69.0,501,2048,0,0,0,0,33353.0,32603.0,32978.0,375.0,0,0,0,0,0,0,66.0,74.0,0,5,3,330,222
59.82.33.244,169.231.122.194,443,65198,6,2022-12-05 12:22:16,22918.0,4712.453093638188,87.26764988218866,43.63382494109433,43.63382494109433,1,1,54,54,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1.0,54.0,83,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,1,1,54,54
121.14.78.51,169.231.122.194,443,65216,6,2022-12-05 12:22:17,83751.0,2949.218516793829,47.76062375374622,23.88031187687311,23.88031187687311,2,2,139,108,85,54,69.5,15.5,54,54,54.0,0.0,85,54,61.75,13.423393758658799,180.1875,40,40,20,1,27917.0,83649.0,49.0,39408.47516292234,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,0,0,1.0,61.75,254,4095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,54.0,0,2,2,139,108
142.250.176.10,169.231.122.195,443,62220,17,2022-12-05 12:22:17,2307372.0,25410.727008908838,36.405053021359365,18.6359199990292,17.769133022330166,43,41,33338,25294,1242,67,775.3023255813954,549.0633688544953,1314,73,616.9268292682926,540.7079095283624,1314,67,698.0,550.7207614961117,303293.35714285716,344,328,8,43,-600121.1686746988,1839604.0,-2307372.0,1024982.505080045,2304407.0,1839604.0,1.0,54866.833333333336,281223.1448290974,2279696.0,1832153.0,0.0,56992.4,289636.2170252367,0,0,0,0,0,0,0,0,0,0,0,0.9534883720930233,698.0,0,0,1837793.0,18913.0,529496.25,760428.9637866823,1789438.0,6257.0,238468.66666666666,551475.822296056,8392.0,7.333333333333333,0,0,148094117.6470588235294117647,0,775.3023255813954,616.9268292682926,0,43,41,33338,25294
172.217.14.74,169.231.122.195,443,55835,17,2022-12-05 12:22:17,6498.0,573407.2022160664,461.6805170821791,461.6805170821791,0.0,3,0,3726,0,1242,1242,1242.0,0.0,0,0,0,0.0,1242,1242,1242.0,0.0,0.0,24,0,8,3,3249.0,6443.0,55.0,3194.0,6498.0,6443.0,55.0,3249.0,3194.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1242.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242.0,0,0,3,0,3726,0
172.217.14.65,169.231.122.195,443,52764,17,2022-12-05 12:22:18,93910.0,332062.61314024066,511.12767543392613,298.15781066979025,212.96986476413588,28,20,25509,5675,1242,67,911.0357142857143,481.92356256263423,1294,73,283.75,415.10551369501223,1294,67,649.6666666666666,550.3776481249539,302915.55555555556,224,160,8,28,-22618.872340425532,30184.0,-93910.0,33664.35030712347,91209.0,30184.0,1.0,3378.1111111111113,7842.934425013494,67123.0,28720.0,1.0,3532.7894736842104,6564.3921799752925,0,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,649.6666666666666,0,0,24539.0,359.0,11825.0,9910.80985590986,26539.0,6046.0,16414.75,10056.830921691982,6772.333333333333,7.0,0,0,12187762.44751049790041991602,0,911.0357142857143,283.75,0,28,20,25509,5675
198.189.66.17,169.231.122.195,443,62591,17,2022-12-05 12:22:18,205835.00000000003,94255.10724609517,170.03910899506886,72.87390385502951,97.16520514003935,15,20,8579,10822,1292,67,571.9333333333333,528.0232907320998,1292,75,541.1,547.6960744792681,1292,67,554.3142857142857,539.5685457012892,291134.21551020414,120,160,8,15,-62043.970588235294,80852.0,-205835.0,91785.37469857579,199440.0,80852.0,1.0,14245.714285714286,23190.63212786137,175227.0,158477.0,1.0,9222.473684210527,35234.787029101644,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,554.3142857142857,0,0,0,0,0,0,42995.0,11338.0,29863.0,13474.78506940525,5386.0,5.0,0,0,92862068.96551724137931034483,0,571.9333333333333,541.1,0,15,20,8579,10822
142.250.72.142,169.231.122.195,443,59311,17,2022-12-05 12:22:19,64974.00000000001,204789.60815095267,477.1139224920737,215.4708037060978,261.6431187859759,14,17,7853,5453,1242,67,560.9285714285714,529.6471149043772,1294,72,320.7647058823529,447.8822756841047,1294,67,429.2258064516129,500.97850766323165,250979.46514047866,112,136,8,14,-16498.8,24296.0,-64974.0,24077.611130674904,62449.0,24296.0,1.0,4803.7692307692305,7660.8267996631985,62609.0,27947.0,2.0,3913.0625,7009.658314325581,0,0,0,0,0,0,0,0,0,0,0,1.2142857142857142,429.2258064516129,0,0,0,0,0,0,22682.0,6096.0,13979.333333333334,6795.946308073823,4912.0,5.0,0,0,6593288.590604026845637583893,0,560.9285714285714,320.7647058823529,0,14,17,7853,5453
142.251.2.188,169.231.122.195,5228,64260,6,2022-12-05 12:22:20,44350.0,8568.207440811724,112.73957158962796,45.095828635851184,67.64374295377678,2,3,163,217,97,66,81.5,15.5,97,54,72.33333333333333,18.116904322268255,97,54,76.0,17.69745744450315,313.2,40,60,20,1,-10223.25,24500.0,-37125.0,26797.434283667906,0,0,0,0,0,44350.0,42718.0,1632.0,22175.0,20543.0,1,1,0,0,1,0,1,2,4,0,0,1.5,76.0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.5,72.33333333333333,0,2,3,163,217
142.251.2.113,169.231.122.195,443,53579,17,2022-12-05 12:22:20,250741.0,98312.60144930426,175.47987764266713,79.76358074666688,95.71629689600026,20,24,10397,14254,1242,67,519.85,533.1506611643654,1294,73,593.9166666666666,565.4187914477394,1294,67,560.25,552.2186706616073,304945.4602272727,160,192,8,20,-93766.3953488372,58829.0,-250741.0,104464.25713514259,241964.0,58829.0,1.0,12734.947368421053,17885.171448271667,216634.0,105533.0,1.0,9418.869565217392,23735.891865172467,0,0,0,0,0,0,0,0,0,0,0,1.2,560.25,0,0,30955.0,19938.0,25446.5,5508.5,32960.0,7588.0,21944.4,9774.51462938186,4657.0,4.0,0,0,86240740.74074074074074074074,0,519.85,593.9166666666666,0,20,24,10397,14254
35.186.224.25,169.231.122.195,443,57925,6,2022-12-05 12:22:21,60173955.0,1959.9343270689121,3.55635590181832,1.9277443206117997,1.6286115812065203,116,98,43854,74083,1440,66,378.05172413793105,532.1051854277463,1440,66,755.9489795918367,636.9751921041366,1440,66,551.107476635514,612.1515546267528,374729.5258319503,2320,1960,20,46,-20923459.286384977,28434033.0,-60170834.0,28202402.405667,60173955.0,28434033.0,1.0,523251.7826086957,3314299.8473477606,60168369.0,28434001.0,1.0,620292.4639175257,3600449.9467537603,35,27,0,0,0,1,0,62,214,0,0,0.8448275862068966,551.107476635514,65535,2048,28420791.0,12380.0,4238406.928571428,8626800.897333408,28426251.0,5033.0,3300830.277777778,7801766.621406297,11188.0,11.333333333333334,0,0,9584237.578526556253569388921,0,378.05172413793105,755.9489795918367,0,116,98,43854,74083
