flow_a,flow_b,ip_a,ip_b,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,pkt_len_mean,pkt_len_std,pkt_len_max,pkt_len_min,flow_iat_mean,flow_iat_std,fwd_iat_mean,bwd_iat_mean,down_up_ratio,fwd_pkt_len_mean,fwd_pkt_len_max,bwd_pkt_len_mean,bwd_pkt_len_max,syn_flag_cnt,ack_flag_cnt,fin_flag_cnt,rst_flag_cnt,psh_flag_cnt,urg_flag_cnt,init_fwd_win_byts,init_bwd_win_byts,ip_version,ip_ttl_mean,ip_ttl_std,ip_len_mean,ip_len_std,ip_flag_df_rate,ip_flag_mf_rate,tcp_win_size_mean,tcp_win_size_std,tcp_seq_mean_delta,tcp_ack_mean_delta,label
s2-2022-04-29-1215-ens4f1-2022-04-29-1215-107778,s2-2022-04-29-1215-ens4f1-2022-04-29-1215-350483,169.231.9.28,169.231.9.28,0.0,7.978534,4.0,0.0,23.851119,0.338401,0.338401,2.248868,0.21746,0.0,0.0,0.285891,1.110367,0.285891,0.0,0.0,2.248868,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,36575.0,0.0,0.0,73.333333,0.471405,152.375,109.733934,0.833333,0.0,3635.875,11097.942271,175.218182,51328571.775758,1
s2-2022-04-29-1215-ens4f1-2022-04-29-1215-107778,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-740852,169.231.9.28,169.231.9.28,0.0,10.020113,4.0,0.0,7208.996061,86.946205,86.946205,6.131221,1.087789,0.0,6.0,0.839024,2.719918,0.839024,0.0,0.0,6.131221,0.0,0.0,0.0,0.0,6.0,1.0,2.0,5.0,0.0,375.0,0.0,0.0,68.333333,0.471405,24.1875,9.805466,0.833333,0.0,1112.125,2403.354887,581.915151,205741720.642424,1
s2-2022-04-29-1215-ens4f1-2022-04-29-1215-107778,s3-2022-04-29-1215-ens4f2-2022-04-29-1215-150320,169.231.9.28,169.231.9.28,0.0,9.331286,10.0,0.0,2020.288591,24.818119,24.818119,4.481605,1.009204,0.0,6.0,0.810998,2.690372,0.810998,0.0,0.0,4.481605,0.0,0.0,0.0,0.0,12.0,0.0,2.0,8.0,0.0,375.0,0.0,0.0,68.333333,0.471405,178.431818,116.232222,0.833333,0.0,2213.681818,4586.388865,224.961039,205741772.909091,1
s2-2022-04-29-1215-ens4f1-2022-04-29-1215-350483,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-740852,169.231.9.28,169.231.9.28,0.0,17.998647,0.0,0.0,7232.84718,87.284606,87.284606,3.882353,1.305249,0.0,6.0,1.124915,3.830285,1.124915,0.0,0.0,3.882353,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,36200.0,0.0,0.0,5.0,0.0,128.1875,99.928468,0.0,0.0,2523.75,8694.587384,757.133333,154413148.866666,1
s2-2022-04-29-1215-ens4f1-2022-04-29-1215-350483,s3-2022-04-29-1215-ens4f2-2022-04-29-1215-150320,169.231.9.28,169.231.9.28,0.0,17.30982,6.0,0.0,2044.13971,25.15652,25.15652,2.232737,1.226664,0.0,6.0,1.096889,3.800739,1.096889,0.0,0.0,2.232737,0.0,0.0,0.0,0.0,8.0,0.0,2.0,4.0,0.0,36200.0,0.0,0.0,5.0,0.0,26.056818,6.498288,0.0,0.0,1422.193182,6511.553406,49.742857,154413201.133333,1
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-740852,s3-2022-04-29-1215-ens4f2-2022-04-29-1215-150320,169.231.9.28,169.231.9.28,0.0,0.688827,6.0,0.0,5188.70747,62.128086,62.128086,1.649616,0.078585,0.0,0.0,0.028026,0.029546,0.028026,0.0,0.0,1.649616,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,154.244318,106.426756,0.0,0.0,1101.556818,2183.033978,806.87619,52.266667,1
s2-2022-04-29-1215-ens4f1-2022-04-29-1215-109750,s2-2022-04-29-1215-ens4f2-2022-04-29-1215-265864,169.231.163.35,169.231.163.35,11.0,30.209929,3.0,8.0,21997.569922,265.572152,140.503755,9.823529,3.184282,0.0,7.0,6.050781,12.097627,6.046783,0.004139,0.888889,12.222222,0.0,80.125,93.0,2.0,6.0,1.0,0.0,1.0,0.0,65535.0,0.0,0.0,30.6,32.510102,147.8875,141.781289,1.0,0.0,13315.8,26109.6,997.75,145.5,1
s2-2022-04-29-1215-ens4f1-2022-04-29-1215-109750,s3-2022-04-29-1215-ens4f2-2022-04-29-1215-536867,169.231.163.35,169.231.163.35,0.0,0.048078,0.0,8.0,24252.20337,300.73057,425.798967,1.156862,1.507018,0.0,0.0,0.002012,0.003604,0.00601,0.004139,0.888889,3.555555,0.0,80.125,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,33.0,63.1875,18.103552,0.0,0.0,0.0,0.0,0.0,0.0,1
s2-2022-04-29-1215-ens4f2-2022-04-29-1215-265864,s3-2022-04-29-1215-ens4f2-2022-04-29-1215-536867,169.231.163.35,169.231.163.35,11.0,30.258007,3.0,0.0,46249.773292,566.302722,566.302722,8.666667,1.677264,0.0,7.0,6.052793,12.101231,6.052793,0.0,0.0,8.666667,0.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,0.0,65535.0,0.0,0.0,62.6,0.489898,84.7,123.677737,1.0,0.0,13315.8,26109.6,997.75,145.5,1
s2-2022-04-29-1215-ens4f1-2022-04-29-1215-110809,s2-2022-04-29-1215-ens4f1-2022-04-29-1215-1725,169.231.64.250,169.231.64.250,0.0,120.183866,86.0,0.0,23130.776946,256.75442,256.75442,2.9,7.86702,0.0,26.0,1.042075,0.087949,1.042075,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,796.817144,478.006681,1.0,0.0,0.0,0.0,0.0,0.0,1
s2-2022-04-29-1215-ens4f1-2022-04-29-1215-110809,s2-2022-04-29-1215-ens4f3-2022-04-29-1215-162455,169.231.64.250,169.231.64.250,11.0,28.263835,24.0,0.0,23206.182062,257.507259,257.507259,22.6,3.848355,0.0,7.0,5.672034,11.307561,5.672034,0.0,0.0,22.6,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,64240.0,0.0,0.0,66.0,0.0,879.282759,389.686369,0.0,0.0,13155.8,25542.872762,58.75,60698583.5,1
